blockindex	stim	cresp	acc	rt	resp	category	width	angle	ignore	gl	ignore2	stimindex	sub	resp1	resp6	cresp6	cresp1
86	tree18.jpg	1	1	0.842219	1	2	39.0609	36.92	-1	1	0	12	101	1	0	0	1
87	tree18.jpg	1	0	0.504204	6	1	35.996	58.61	-1	-1	0	13	101	0	1	0	1
88	tree39.jpg	6	0	1.096346	1	1	61.1958	89.9	-1	-1	0	8	101	1	0	1	0
90	tree22.jpg	6	0	0.808835	1	1	39.0081	73.16	-1	-1	0	9	101	1	0	1	0
91	tree22.jpg	6	0	0.630631	1	1	26.1226	50.33	-1	-1	0	10	101	1	0	1	0
92	tree39.jpg	6	0	0.929781	1	1	20.816	57.63	-1	-1	0	9	101	1	0	1	0
93	tree39.jpg	6	1	1.272098	6	2	37.4075	33.64	-1	1	0	10	101	0	1	1	0
95	tree10.jpg	1	1	1.213616	1	2	59.83	52.72	-1	1	0	13	101	1	0	0	1
96	tree39.jpg	6	1	1.091079	6	2	56.1004	38.39	-1	1	0	11	101	0	1	1	0
97	tree18.jpg	1	1	0.686734	1	2	65.2611	47.62	-1	1	0	14	101	1	0	0	1
98	tree22.jpg	6	0	1.25649	1	1	27.0394	45.8	-1	-1	0	11	101	1	0	1	0
99	tree22.jpg	6	1	0.508437	6	2	75.8809	65.11	-1	1	0	12	101	0	1	1	0
101	tree11.jpg	1	1	1.22298	1	2	65.6688	55.64	-1	1	0	12	101	1	0	0	1
102	tree10.jpg	1	0	1.334353	6	1	60.5319	85.84	-1	-1	0	14	101	0	1	0	1
106	tree39.jpg	6	1	1.755808	6	2	85.4183	74.85	-1	1	0	12	101	0	1	1	0
107	tree19.jpg	6	1	1.39973	6	2	40.5037	24.71	-1	1	0	13	101	0	1	1	0
108	tree19.jpg	6	0	0.675225	1	1	42.2403	65.4	-1	-1	0	14	101	1	0	1	0
110	tree18.jpg	1	1	1.234383	1	2	73.7822	64.54	-1	1	0	15	101	1	0	0	1
112	tree11.jpg	1	1	1.053824	1	2	51.8177	44.64	-1	1	0	13	101	1	0	0	1
113	tree11.jpg	1	1	0.980147	1	2	46.5996	34.63	-1	1	0	14	101	1	0	0	1
114	tree11.jpg	1	1	1.130191	1	2	79.532	62.64	-1	1	0	15	101	1	0	0	1
115	tree22.jpg	6	1	1.249355	6	2	38.3772	29.5	-1	1	0	13	101	0	1	1	0
