M_width,SD_width,M_angle,SD_angle,sub,gl
56.5217010752688,17.0313267116645,47.8960215053763,16.8510513889364,101,g
39.926332183908,16.3160883291116,67.4171264367816,16.2381073410269,101,l
56.6397862068966,18.2888629270955,48.1559770114943,17.3111185846157,102,g
41.1241774193548,17.6009673411171,68.5472043010753,17.6262463244565,102,l
43.2905476744186,15.4183615775838,70.4088372093023,15.0861776563538,103,g
57.2492191489362,17.9074102476215,48.6439361702128,17.0689873601587,103,l
40.5572297297297,16.9448504204502,67.3740540540541,15.8945407116844,104,g
57.5849358490566,17.9995540985468,47.9664150943396,17.5878032515869,104,l
40.7818244186046,15.3998182214324,68.0382558139535,15.8782680335594,105,g
56.9165563829787,17.305980802965,47.598085106383,16.666747673562,105,l
40.9970569767442,17.4865401249448,68.5603488372093,16.8190400123106,106,g
55.9819010638298,17.4101439269495,47.1034042553191,16.9550297389218,106,l
40.71141,17.0187832748398,67.7527777777778,17.609482125735,107,g
59.4896711111111,16.1065643113471,50.5438888888889,15.3309141818235,107,l
42.426756043956,15.6614062833182,69.0862637362637,15.2840156625841,108,g
58.3798112359551,15.8251580072137,50.2460674157303,14.8345395965247,108,l
39.0964484848485,17.018649344969,65.6836363636364,17.0651274955052,109,g
57.6790567901235,16.2223220358935,48.8083950617284,15.2392923438713,109,l
56.6142770833333,16.4885122307973,47.433125,15.2369006596002,110,g
39.6332535714286,17.8032746558444,66.7920238095238,17.856908404944,110,l
41.2449010989011,16.1185381191657,68.0010989010989,16.2656217868341,111,g
56.7235943820225,17.607302962584,47.4392134831461,17.0206696017678,111,l
39.0945023529412,15.9311586569257,65.3938823529412,15.4609643706888,112,g
59.6903063157895,15.462586187309,50.4171578947368,15.5698301869119,112,l
38.2050229885057,15.9056196771492,65.191724137931,16.0272869940028,113,g
61.1620720430108,16.5389621790641,52.5320430107527,15.7927995122117,113,l
37.8465666666667,17.792127185015,65.0581481481481,18.0801540446363,114,g
59.885896969697,14.5191104612581,50.8881818181818,14.6025341918363,114,l
40.9560373493976,16.9063279258902,68.1446987951807,16.4112616997872,115,g
60.8019195876289,15.9479826049517,51.7080412371134,15.9460215544489,115,l
57.6156522727273,15.3688189099368,49.2311363636364,14.6386547362433,116,g
42.1831608695652,17.5615426752838,69.0322826086957,17.8405552384436,116,l
40.9970569767442,17.4865401249448,68.5603488372093,16.8190400123106,117,g
55.9819010638298,17.4101439269495,47.1034042553191,16.9550297389218,117,l
40.71141,17.0187832748398,67.7527777777778,17.609482125735,118,g
59.4896711111111,16.1065643113471,50.5438888888889,15.3309141818235,118,l
